Date;Team;Rank;Score;
20-5-1998;Portugal;39;49;
20-5-1998;Slovakia;40;49;
20-5-1998;Scotland;41;48;
20-5-1998;Iran;42;47;
20-5-1998;Kuwait;43;46;
20-5-1998;Cote d'Ivoire;44;46;
20-5-1998;Lithuania;45;46;
20-5-1998;Republic of Ireland;46;46;
20-5-1998;Israel;47;45;
20-5-1998;Trinidad and Tobago;48;45;
20-5-1998;Cameroon;49;45;
20-5-1998;Thailand;50;45;
20-5-1998;China PR;51;45;
20-5-1998;Georgia;52;45;
20-5-1998;Turkey;53;44;
20-5-1998;Poland;54;44;
20-5-1998;Greece;55;44;
20-5-1998;Angola;56;43;
20-5-1998;Algeria;57;43;
20-5-1998;Costa Rica;58;43;
20-5-1998;United Arab Emirates;59;42;
20-5-1998;Guinea;60;42;
20-5-1998;Finland;61;42;
20-5-1998;Hungary;62;41;
20-5-1998;Zaire;63;40;
20-5-1998;Ukraine;64;40;
20-5-1998;Ghana;65;40;
20-5-1998;Mali;66;39;
20-5-1998;Burkina Faso;67;39;
20-5-1998;El Salvador;68;38;
20-5-1998;Mozambique;69;38;
20-5-1998;Qatar;70;38;
20-5-1998;FYR Macedonia;71;37;
20-5-1998;Iceland;72;37;
20-5-1998;Togo;73;37;
20-5-1998;Nigeria;74;36;
20-5-1998;Guatemala;75;36;
20-5-1998;Namibia;76;36;
20-5-1998;Canada;77;36;
20-5-1998;Senegal;78;36;
20-5-1998;Gabon;79;35;
20-5-1998;Uzbekistan;80;35;
20-5-1998;Switzerland;81;35;
20-5-1998;Latvia;82;35;
20-5-1998;Cyprus;83;35;
20-5-1998;Zimbabwe;84;35;
20-5-1998;Iraq;85;33;
20-5-1998;Honduras;86;33;
20-5-1998;Oman;87;33;
20-5-1998;Cuba;88;33;
20-5-1998;Indonesia;89;33;
20-5-1998;Northern Ireland;90;33;
20-5-1998;Sierra Leone;91;32;
20-5-1998;Syria;92;31;
20-5-1998;Kenya;93;30;
20-5-1998;Slovenia;94;30;
20-5-1998;Tanzania;95;30;
20-5-1998;Lebanon;96;30;
20-5-1998;Malawi;97;29;
20-5-1998;Liberia;98;29;
20-5-1998;Malaysia;99;28;
20-5-1998;Vietnam;100;28;
20-5-1998;Albania;101;28;
20-5-1998;Bosnia-Herzegovina;102;28;
20-5-1998;Wales;103;28;
20-5-1998;Estonia;104;28;
20-5-1998;Grenada;105;27;
20-5-1998;Singapore;106;27;
20-5-1998;Kazakhstan;107;26;
20-5-1998;Barbados;108;25;
20-5-1998;Congo;109;25;
20-5-1998;Haiti;110;25;
20-5-1998;Armenia;111;25;
20-5-1998;Belarus;112;24;
20-5-1998;Sudan;113;24;
20-5-1998;Venezuela;114;24;
20-5-1998;India;115;24;
20-5-1998;Uganda;116;24;
20-5-1998;New Zealand;117;23;
20-5-1998;Myanmar;118;22;
20-5-1998;Tajikistan;119;22;
20-5-1998;Gambia;120;22;
20-5-1998;Faroe Islands;121;22;
20-5-1998;St. Kitts and Nevis;122;21;
20-5-1998;Azerbaijan;123;21;
20-5-1998;Malta;124;20;
20-5-1998;Jordan;125;20;
20-5-1998;St. Vincent and the Grenadines;126;20;
20-5-1998;Panama;127;19;
20-5-1998;Mauritania;128;19;
20-5-1998;Sri Lanka;129;19;
20-5-1998;Dominica;130;17;
20-5-1998;Ethiopia;131;17;
20-5-1998;Benin;132;16;
20-5-1998;St. Lucia;133;16;
20-5-1998;Bahrain;134;16;
20-5-1998;Yemen;135;16;
20-5-1998;Lesotho;136;16;
20-5-1998;Solomon Islands;137;16;
20-5-1998;Moldova;138;16;
20-5-1998;Hong Kong;139;15;
20-5-1998;Turkmenistan;140;15;
20-5-1998;Kyrgyzstan;141;15;
20-5-1998;Dominican Republic;142;14;
20-5-1998;Luxembourg;143;14;
20-5-1998;Antigua and Barbuda;144;13;
20-5-1998;Laos;145;13;
20-5-1998;Suriname;146;13;
20-5-1998;Swaziland;147;12;
20-5-1998;Libya;148;12;
20-5-1998;Bangladesh;149;11;
20-5-1998;Netherlands Antilles;150;11;
20-5-1998;Fiji;151;11;
20-5-1998;Guinea-Bissau;152;10;
20-5-1998;Guyana;153;10;
20-5-1998;Botswana;154;9;
20-5-1998;Niger;155;9;
20-5-1998;Pakistan;156;9;
20-5-1998;Mauritius;157;9;
20-5-1998;Burundi;158;8;
20-5-1998;Cambodia;159;7;
20-5-1998;Maldives;160;7;
20-5-1998;Macau;161;7;
20-5-1998;Chinese Taipei;162;7;
20-5-1998;Tahiti;163;7;
20-5-1998;Cape Verde Islands;164;7;
20-5-1998;Liechtenstein;165;7;
20-5-1998;Nepal;166;6;
20-5-1998;Cayman Islands;167;6;
20-5-1998;Papua New Guinea;168;6;
20-5-1998;Madagascar;169;6;
20-5-1998;Korea DPR;170;5;
20-5-1998;Puerto Rico;171;5;
20-5-1998;Rwanda;172;4;
20-5-1998;Aruba;173;4;
20-5-1998;Philippines;174;4;
20-5-1998;Tonga;175;4;
20-5-1998;San Marino;176;3;
20-5-1998;Brunei Darussalam;177;3;
20-5-1998;Belize;178;2;
20-5-1998;British Virgin Islands;179;2;
20-5-1998;Seychelles;180;2;
20-5-1998;Samoa;181;2;
20-5-1998;Chad;182;2;
20-5-1998;Bermuda;183;2;
20-5-1998;Nicaragua;184;1;
20-5-1998;Andorra;185;1;
20-5-1998;Vanuatu;186;1;
20-5-1998;Somalia;187;1;
20-5-1998;Central African Republic;188;0;
20-5-1998;Djibouti;189;0;
20-5-1998;Anguilla;190;0;
20-5-1998;Cook Islands;191;0;
20-5-1998;Guam;192;0;
15-5-2002;France;1;802;
15-5-2002;Brazil;2;784;
15-5-2002;Argentina;3;784;
15-5-2002;Colombia;4;728;
15-5-2002;Portugal;5;726;
15-5-2002;Italy;6;717;
15-5-2002;Mexico;7;716;
15-5-2002;Spain;8;713;
15-5-2002;Netherlands;9;703;
15-5-2002;Yugoslavia;10;702;
15-5-2002;Germany;11;695;
15-5-2002;England;12;694;
15-5-2002;USA;13;690;
15-5-2002;Romania;14;675;
15-5-2002;Republic of Ireland;15;674;
15-5-2002;Czech Republic;16;674;
15-5-2002;Cameroon;17;672;
15-5-2002;Paraguay;18;671;
15-5-2002;Sweden;19;665;
15-5-2002;Denmark;20;657;
15-5-2002;Croatia;21;655;
15-5-2002;Turkey;22;654;
15-5-2002;Belgium;23;653;
15-5-2002;Uruguay;24;652;
15-5-2002;Slovenia;25;649;
15-5-2002;Honduras;26;647;
15-5-2002;Nigeria;27;644;
15-5-2002;Russia;28;644;
15-5-2002;Costa Rica;29;643;
15-5-2002;Iran;30;635;
15-5-2002;Tunisia;31;635;
15-5-2002;Japan;32;634;
15-5-2002;Norway;33;631;
15-5-2002;Saudi Arabia;34;627;
15-5-2002;Trinidad and Tobago;35;624;
15-5-2002;Ecuador;36;624;
15-5-2002;South Africa;37;623;
15-5-2002;Poland;38;615;
15-5-2002;Morocco;39;612;
15-5-2002;Korea Republic;40;603;
15-5-2002;Finland;41;600;
15-5-2002;Senegal;42;599;
15-5-2002;Egypt;43;598;
15-5-2002;Ukraine;44;593;
15-5-2002;Chile;45;590;
15-5-2002;Cote d'Ivoire;46;580;
15-5-2002;Peru;47;578;
15-5-2002;Australia;48;575;
15-5-2002;Slovakia;49;574;
15-5-2002;China PR;50;566;
15-5-2002;Israel;51;563;
15-5-2002;Ghana;52;558;
15-5-2002;Greece;53;558;
15-5-2002;Bulgaria;54;557;
15-5-2002;Scotland;55;557;
15-5-2002;Iceland;56;553;
15-5-2002;Jamaica;57;549;
15-5-2002;Angola;58;545;
15-5-2002;Georgia;59;545;
15-5-2002;Thailand;60;544;
15-5-2002;Austria;61;543;
15-5-2002;Guatemala;62;538;
15-5-2002;United Arab Emirates;63;536;
15-5-2002;Switzerland;64;531;
15-5-2002;Zambia;65;530;
15-5-2002;Zimbabwe;66;527;
15-5-2002;Uzbekistan;67;523;
15-5-2002;Hungary;68;523;
15-5-2002;Togo;69;518;
15-5-2002;Bolivia;70;512;
15-5-2002;Iraq;71;509;
15-5-2002;Bosnia-Herzegovina;72;508;
15-5-2002;Qatar;73;507;
15-5-2002;Congo DR;74;505;
15-5-2002;Canada;75;504;
15-5-2002;Liberia;76;500;
15-5-2002;Kuwait;77;500;
15-5-2002;Cuba;78;498;
15-5-2002;Algeria;79;497;
15-5-2002;Burkina Faso;80;497;
15-5-2002;Haiti;81;496;
15-5-2002;Cyprus;82;492;
15-5-2002;Venezuela;83;488;
15-5-2002;El Salvador;84;480;
15-5-2002;Mali;85;471;
15-5-2002;Estonia;86;471;
15-5-2002;New Zealand;87;471;
15-5-2002;Belarus;88;463;
15-5-2002;FYR Macedonia;89;462;
15-5-2002;Northern Ireland;90;455;
15-5-2002;Oman;91;454;
15-5-2002;Indonesia;92;453;
15-5-2002;Syria;93;449;
15-5-2002;Lebanon;94;445;
15-5-2002;Albania;95;442;
15-5-2002;Wales;96;440;
15-5-2002;Congo;97;439;
15-5-2002;Lithuania;98;436;
15-5-2002;Latvia;99;435;
15-5-2002;Jordan;100;434;
15-5-2002;Armenia;101;433;
15-5-2002;Kazakhstan;102;429;
15-5-2002;Moldova;103;425;
15-5-2002;Gabon;104;422;
15-5-2002;Namibia;105;422;
15-5-2002;Kenya;106;418;
15-5-2002;Vietnam;107;417;
15-5-2002;Bahrain;108;409;
15-5-2002;Barbados;109;407;
15-5-2002;Guinea;110;399;
15-5-2002;Panama;111;388;
15-5-2002;Malaysia;112;384;
15-5-2002;Singapore;113;381;
15-5-2002;Turkmenistan;114;377;
15-5-2002;Azerbaijan;115;377;
15-5-2002;Libya;116;374;
15-5-2002;Madagascar;117;366;
15-5-2002;Malta;118;366;
15-5-2002;Faroe Islands;119;365;
15-5-2002;Uganda;120;364;
15-5-2002;Sudan;121;360;
15-5-2002;Malawi;122;353;
15-5-2002;India;123;350;
15-5-2002;Swaziland;124;349;
15-5-2002;Fiji;125;340;
15-5-2002;Korea DPR;126;339;
15-5-2002;Mauritius;127;335;
15-5-2002;Tahiti;128;332;
15-5-2002;Mozambique;129;330;
15-5-2002;Burundi;130;328;
15-5-2002;St. Vincent and the Grenadines;131;327;
15-5-2002;St. Kitts and Nevis;132;320;
15-5-2002;Rwanda;133;319;
15-5-2002;Ethiopia;134;318;
15-5-2002;St. Lucia;135;318;
15-5-2002;Lesotho;136;313;
15-5-2002;Solomon Islands;137;305;
15-5-2002;Grenada;138;305;
15-5-2002;Botswana;139;303;
15-5-2002;Yemen;140;297;
15-5-2002;Andorra;141;286;
15-5-2002;Sri Lanka;142;281;
15-5-2002;Hong Kong;143;280;
15-5-2002;Sierra Leone;144;279;
15-5-2002;Luxembourg;145;266;
15-5-2002;Suriname;146;260;
15-5-2002;Palestine;147;247;
15-5-2002;Maldives;148;245;
15-5-2002;Bangladesh;149;241;
15-5-2002;Liechtenstein;150;241;
15-5-2002;Benin;151;239;
15-5-2002;Tanzania;152;237;
15-5-2002;Myanmar;153;229;
15-5-2002;Gambia;154;227;
15-5-2002;Tajikistan;155;221;
15-5-2002;Nepal;156;214;
15-5-2002;Belize;157;211;
15-5-2002;Antigua and Barbuda;158;211;
15-5-2002;San Marino;159;204;
15-5-2002;Cape Verde Islands;160;202;
15-5-2002;Dominican Republic;161;198;
15-5-2002;British Virgin Islands;162;197;
15-5-2002;Dominica;163;197;
15-5-2002;Laos;164;196;
15-5-2002;Samoa;165;195;
15-5-2002;Kyrgyzstan;166;195;
15-5-2002;Cayman Islands;167;188;
15-5-2002;Bermuda;168;187;
15-5-2002;Eritrea;169;182;
15-5-2002;Vanuatu;170;180;
15-5-2002;Cambodia;171;175;
15-5-2002;Chinese Taipei;172;170;
15-5-2002;Tonga;173;157;
15-5-2002;Guinea-Bissau;174;147;
15-5-2002;Philippines;175;145;
15-5-2002;Chad;176;144;
15-5-2002;Guyana;177;143;
15-5-2002;Mauritania;178;140;
15-5-2002;Cook Islands;179;139;
15-5-2002;Papua New Guinea;180;130;
15-5-2002;Pakistan;181;130;
15-5-2002;Macau;182;109;
15-5-2002;Central African Republic;183;106;
15-5-2002;Bahamas;184;103;
15-5-2002;Netherlands Antilles;185;101;
15-5-2002;Aruba;186;99;
15-5-2002;Sao Tome e Principe;187;97;
15-5-2002;Mongolia;188;92;
15-5-2002;Nicaragua;189;88;
15-5-2002;Brunei Darussalam;190;83;
15-5-2002;Equatorial Guinea;191;76;
15-5-2002;Djibouti;192;73;
15-5-2002;Niger;193;68;
15-5-2002;Seychelles;194;67;
15-5-2002;Somalia;195;66;
15-5-2002;Anguilla;196;63;
15-5-2002;Puerto Rico;197;53;
15-5-2002;US Virgin Islands;198;46;
15-5-2002;Guam;199;24;
15-5-2002;Turks and Caicos Islands;200;19;
15-5-2002;American Samoa;201;19;
15-5-2002;Bhutan;202;13;
15-5-2002;Montserrat;203;9;
17-5-2006;Brazil;1;827;
17-5-2006;Czech Republic;2;772;
17-5-2006;Netherlands;3;768;
17-5-2006;Mexico;4;758;
17-5-2006;Spain;5;756;
17-5-2006;USA;6;756;
17-5-2006;Portugal;7;750;
17-5-2006;France;8;749;
17-5-2006;Argentina;9;746;
17-5-2006;England;10;741;
17-5-2006;Denmark;11;736;
17-5-2006;Nigeria;12;736;
17-5-2006;Italy;13;728;
17-5-2006;Turkey;14;726;
17-5-2006;Cameroon;15;722;
17-5-2006;Sweden;16;709;
17-5-2006;Egypt;17;708;
17-5-2006;Japan;18;705;
17-5-2006;Germany;19;696;
17-5-2006;Greece;20;694;
17-5-2006;Tunisia;21;693;
17-5-2006;Uruguay;22;689;
17-5-2006;Iran;23;686;
17-5-2006;Croatia;24;686;
17-5-2006;Romania;25;685;
17-5-2006;Costa Rica;26;683;
17-5-2006;Colombia;27;681;
17-5-2006;Senegal;28;679;
17-5-2006;Poland;29;677;
17-5-2006;Korea Republic;30;677;
17-5-2006;Republic of Ireland;31;671;
17-5-2006;Cote d'Ivoire;32;669;
17-5-2006;Paraguay;33;653;
17-5-2006;Saudi Arabia;34;651;
17-5-2006;Switzerland;35;648;
17-5-2006;Morocco;36;646;
17-5-2006;Bulgaria;37;645;
17-5-2006;Russia;38;645;
17-5-2006;Ecuador;39;631;
17-5-2006;Norway;40;627;
17-5-2006;Slovakia;41;613;
17-5-2006;Honduras;42;612;
17-5-2006;Australia;43;612;
17-5-2006;Serbia and Montenegro;44;610;
17-5-2006;Ukraine;45;609;
17-5-2006;Jamaica;46;607;
17-5-2006;Trinidad and Tobago;47;604;
17-5-2006;Ghana;48;600;
17-5-2006;Finland;49;599;
17-5-2006;Israel;50;599;
17-5-2006;Guinea;51;597;
17-5-2006;Iraq;52;595;
17-5-2006;South Africa;53;593;
17-5-2006;Bahrain;54;588;
17-5-2006;Zimbabwe;55;586;
17-5-2006;Belgium;56;582;
17-5-2006;Zambia;57;581;
17-5-2006;Angola;58;581;
17-5-2006;Scotland;59;576;
17-5-2006;Uzbekistan;60;571;
17-5-2006;Togo;61;569;
17-5-2006;Guatemala;62;565;
17-5-2006;Bosnia-Herzegovina;63;561;
17-5-2006;Chile;64;557;
17-5-2006;Belarus;65;553;
17-5-2006;Peru;66;550;
17-5-2006;Mali;67;550;
17-5-2006;China PR;68;545;
17-5-2006;Congo DR;69;544;
17-5-2006;Latvia;70;541;
17-5-2006;United Arab Emirates;71;539;
17-5-2006;Venezuela;72;539;
17-5-2006;Slovenia;73;539;
17-5-2006;Kuwait;74;538;
17-5-2006;Wales;75;538;
17-5-2006;Hungary;76;535;
17-5-2006;Estonia;77;534;
17-5-2006;Qatar;78;533;
17-5-2006;Austria;79;531;
17-5-2006;Cuba;80;527;
17-5-2006;Panama;81;523;
17-5-2006;Oman;82;519;
17-5-2006;Canada;83;515;
17-5-2006;Jordan;84;513;
17-5-2006;Albania;85;512;
17-5-2006;Libya;86;511;
17-5-2006;Algeria;87;505;
17-5-2006;Korea DPR;88;503;
17-5-2006;Burkina Faso;89;500;
17-5-2006;Syria;90;496;
17-5-2006;FYR Macedonia;91;489;
17-5-2006;Singapore;92;482;
